epoch,accuracy,loss,val_accuracy,val_loss
0,0.7942848205566406,0.7568250298500061,0.7853120565414429,0.7394598126411438
1,0.7944673299789429,0.7040629982948303,0.7853120565414429,0.7142380475997925
2,0.7945194840431213,0.6668977737426758,0.7855467200279236,0.6610556244850159
3,0.7964749336242676,0.5908274054527283,0.7942280769348145,0.5683295130729675
4,0.8164728283882141,0.4994460940361023,0.8073674440383911,0.5071724057197571
5,0.8325337767601013,0.44141632318496704,0.821679949760437,0.47973963618278503
6,0.8472910523414612,0.4006652235984802,0.8270764946937561,0.46773773431777954
7,0.8590238094329834,0.3718729615211487,0.8268418312072754,0.4647336006164551
8,0.8673149943351746,0.3487947881221771,0.8305959701538086,0.468717485666275
9,0.8742504119873047,0.33041054010391235,0.8329423069953918,0.4665813744068146
10,0.8803775310516357,0.3150595426559448,0.8359925150871277,0.46773001551628113
11,0.8855921030044556,0.30265548825263977,0.8364617824554443,0.4743202328681946
12,0.8905981183052063,0.2887918949127197,0.8310652375221252,0.4806464910507202
13,0.8956562280654907,0.27817755937576294,0.835757851600647,0.4874517321586609
14,0.8998018503189087,0.2695930302143097,0.834350049495697,0.49479222297668457
15,0.9035041928291321,0.2590474784374237,0.8366963863372803,0.5038068890571594
16,0.906841516494751,0.25032350420951843,0.835757851600647,0.515051007270813
17,0.9096052646636963,0.24278053641319275,0.8268418312072754,0.5214333534240723
18,0.9134901165962219,0.23516708612442017,0.8320037722587585,0.5287092924118042
19,0.9154716730117798,0.22932793200016022,0.8277803659439087,0.5399949550628662
20,0.9179224967956543,0.22279755771160126,0.8209760785102844,0.549053430557251
21,0.9198258519172668,0.2166702300310135,0.8254340887069702,0.5561201572418213
22,0.9226938486099243,0.21041998267173767,0.8294228315353394,0.5705059170722961
23,0.9245189428329468,0.2059660106897354,0.8249648213386536,0.5800944566726685
24,0.9258747696876526,0.2014802098274231,0.8240262866020203,0.5930209755897522
25,0.9279345273971558,0.19693735241889954,0.8242608904838562,0.6082994341850281
26,0.9293684959411621,0.19142058491706848,0.8237916231155396,0.6077663898468018
27,0.931245744228363,0.18723943829536438,0.8176912069320679,0.6250698566436768
28,0.9326537251472473,0.18358254432678223,0.8242608904838562,0.6217588782310486
29,0.9336966276168823,0.17996901273727417,0.8195682764053345,0.629702627658844
30,0.935808539390564,0.17575938999652863,0.8176912069320679,0.6442842483520508
31,0.9364603161811829,0.17289786040782928,0.8155795335769653,0.6512093544006348
32,0.9379986524581909,0.170247420668602,0.8205068111419678,0.6623376607894897
33,0.9400584101676941,0.1652400642633438,0.8176912069320679,0.6659729480743408
34,0.9397976994514465,0.16219189763069153,0.8174566030502319,0.6905365586280823
35,0.9415706396102905,0.15892675518989563,0.8139371275901794,0.6868377327919006
36,0.9435521960258484,0.15595844388008118,0.8183951377868652,0.7050501704216003
37,0.9430046677589417,0.15400606393814087,0.8172219395637512,0.7089601159095764
38,0.9441518783569336,0.15044312179088593,0.8193336725234985,0.7277382016181946
39,0.945481538772583,0.14832700788974762,0.816048800945282,0.7215591073036194
