epoch,accuracy,loss,val_accuracy,val_loss
0,0.7929551005363464,0.8279842734336853,0.7853120565414429,0.7320807576179504
1,0.7944673299789429,0.7153318524360657,0.7853120565414429,0.7067452073097229
2,0.7945976853370667,0.6818147897720337,0.7853120565414429,0.6758927702903748
3,0.7955623865127563,0.6453424692153931,0.7853120565414429,0.6364079713821411
4,0.8004119396209717,0.5982831120491028,0.7902393341064453,0.5923617482185364
5,0.8074255585670471,0.5508486032485962,0.7984514236450195,0.5531688332557678
6,0.8161599636077881,0.5091570615768433,0.8064289093017578,0.5235268473625183
7,0.8249465227127075,0.474355012178421,0.8127639889717102,0.5039061903953552
8,0.8333941698074341,0.4452211558818817,0.8205068111419678,0.4907107353210449
9,0.8417896628379822,0.4236627519130707,0.823087751865387,0.48208361864089966
10,0.8482296466827393,0.4041706621646881,0.8254340887069702,0.4755310118198395
11,0.8543828725814819,0.38710829615592957,0.8268418312072754,0.47090011835098267
12,0.8604578375816345,0.37070605158805847,0.8268418312072754,0.4692141115665436
13,0.8666110634803772,0.35755664110183716,0.828718900680542,0.4688950479030609
14,0.8721906542778015,0.34354671835899353,0.8312998414039612,0.4676315188407898
15,0.8769358992576599,0.32934972643852234,0.8338807821273804,0.46728459000587463
16,0.8798560500144958,0.3189632296562195,0.835757851600647,0.46746519207954407
17,0.8834801912307739,0.3096722364425659,0.8336461782455444,0.4684363603591919
18,0.8894769549369812,0.2972062826156616,0.8334115147590637,0.47068116068840027
19,0.8926578760147095,0.29014766216278076,0.8334115147590637,0.47194045782089233
20,0.8952391147613525,0.28227895498275757,0.8331769108772278,0.4757780432701111
21,0.8982374668121338,0.2727702558040619,0.8334115147590637,0.4780314564704895
22,0.9004536867141724,0.2671062648296356,0.8341154456138611,0.48147550225257874
23,0.9057725667953491,0.25705963373184204,0.8334115147590637,0.4859383702278137
24,0.9067893624305725,0.25342679023742676,0.8327076435089111,0.4888833463191986
25,0.9120821952819824,0.24262045323848724,0.8322383761405945,0.4912847876548767
26,0.9130207896232605,0.2366189807653427,0.8334115147590637,0.4971264600753784
27,0.9159409999847412,0.23038841784000397,0.8312998414039612,0.5010709166526794
28,0.9183918237686157,0.2243412584066391,0.8317691087722778,0.5051642656326294
29,0.9199040532112122,0.21944668889045715,0.8291881680488586,0.5107378363609314
30,0.9228242039680481,0.21302112936973572,0.8282496333122253,0.5147952437400818
31,0.9260311722755432,0.20858702063560486,0.8305959701538086,0.5206574201583862
32,0.9274390935897827,0.2020871639251709,0.8308305740356445,0.5261698365211487
33,0.9283517003059387,0.19784867763519287,0.8303613066673279,0.5310218334197998
34,0.9304896593093872,0.19238899648189545,0.8291881680488586,0.5366045236587524
35,0.932080090045929,0.1890859305858612,0.829892098903656,0.541497528553009
36,0.9338269829750061,0.1840645968914032,0.8282496333122253,0.5460057854652405
37,0.934974193572998,0.1817164272069931,0.828718900680542,0.5543543696403503
38,0.936851441860199,0.1760694533586502,0.828718900680542,0.5605449676513672
39,0.9383115172386169,0.17208649218082428,0.8291881680488586,0.5664661526679993
